ID,Theme,English Message,Armenian Message
53,Motivation & Focus,"Just a gentle reminder: Focus on your progress, not perfection.","Պարզապես մեղմ հիշեցում՝ Կենտրոնացիր քո առաջընթացի, այլ ոչ թե կատարելության վրա:"
54,Motivation & Focus,Just a gentle reminder: You have the strength to overcome this challenge.,Պարզապես մեղմ հիշեցում՝ Դու ուժ ունես հաղթահարելու այս մարտահրավերը:
55,Motivation & Focus,Just a gentle reminder: Your efforts are building a beautiful future.,Պարզապես մեղմ հիշեցում՝ Քո ջանքերը կերտում են գեղեցիկ ապագա:
56,Motivation & Focus,Just a gentle reminder: Trust your pace. You are not falling behind.,Պարզապես մեղմ հիշեցում՝ Վստահիր քո տեմպին: Դու հետ չես մնում:
57,Motivation & Focus,Just a gentle reminder: Every tiny bit of effort counts.,Պարզապես մեղմ հիշեցում՝ Ամեն մի փոքրիկ ջանք հաշվի է առնվում:
58,Motivation & Focus,Just a gentle reminder: Give yourself credit for trying your best today.,Պարզապես մեղմ հիշեցում՝ Գնահատիր ինքդ քեզ այսօր լավագույնս փորձելու համար:
59,Motivation & Focus,"Just a gentle reminder: It is okay to pause, as long as you don't give up.","Պարզապես մեղմ հիշեցում՝ Նորմալ է դադար առնել, քանի դեռ չես հանձնվում:"
60,Motivation & Focus,Just a gentle reminder: You bring a unique light to everything you do.,"Պարզապես մեղմ հիշեցում՝ Դու յուրահատուկ լույս ես բերում այն ամենին, ինչ անում ես:"
61,Motivation & Focus,Just a gentle reminder: Your potential is endless.,Պարզապես մեղմ հիշեցում՝ Քո ներուժն անսահման է:
62,Motivation & Focus,"Just a gentle reminder: Keep going, your future self will thank you.","Պարզապես մեղմ հիշեցում՝ Շարունակիր, քո ապագա եսը շնորհակալություն կհայտնի քեզ:"
63,Motivation & Focus,Just a gentle reminder: You are planting seeds for tomorrow's success.,Պարզապես մեղմ հիշեցում՝ Դու սերմեր ես ցանում վաղվա հաջողության համար:
64,Self-Care,Just a gentle reminder: Allow yourself a moment to rest and reset.,Պարզապես մեղմ հիշեցում՝ Թույլ տուր քեզ մի պահ հանգստանալ և վերականգնվել:
65,Self-Care,Just a gentle reminder: Drinking a little water right now could feel really refreshing.,Պարզապես մեղմ հիշեցում՝ Հիմա մի փոքր ջուր խմելը կարող է շատ թարմացնող լինել:
66,Self-Care,"Just a gentle reminder: Stretch softly, listen to what your body needs.","Պարզապես մեղմ հիշեցում՝ Մեղմորեն ձգվիր, լսիր, թե ինչ է պետք քո մարմնին:"
67,Self-Care,Just a gentle reminder: Resting is just as productive as working.,"Պարզապես մեղմ հիշեցում՝ Հանգստանալը նույնքան արդյունավետ է, որքան աշխատելը:"
68,Self-Care,Just a gentle reminder: Make sure you nourish your body with something tasty today.,"Պարզապես մեղմ հիշեցում՝ Համոզվիր, որ այսօր սնուցում ես մարմինդ որևէ համեղ բանով:"
69,Self-Care,Just a gentle reminder: Stepping away from the screen for a minute can work wonders.,Պարզապես մեղմ հիշեցում՝ Էկրանից մեկ րոպեով կտրվելը կարող է հրաշքներ գործել:
70,Self-Care,Just a gentle reminder: Your well-being is your most important project.,Պարզապես մեղմ հիշեցում՝ Քո բարեկեցությունը քո ամենակարևոր նախագիծն է:
71,Self-Care,Just a gentle reminder: Let your shoulders drop and find a comfortable position.,Պարզապես մեղմ հիշեցում՝ Թուլացրու ուսերդ և գտիր հարմար դիրք:
72,Self-Care,Just a gentle reminder: Treat yourself with the same kindness you offer friends.,"Պարզապես մեղմ հիշեցում՝ Վերաբերվիր քեզ նույն բարությամբ, որը տալիս ես ընկերներիդ:"
73,Self-Care,Just a gentle reminder: A warm cup of tea or coffee is waiting to comfort you.,Պարզապես մեղմ հիշեցում՝ Մի գավաթ տաք թեյը կամ սուրճը սպասում է քեզ հանգստացնելու:
74,Self-Care,Just a gentle reminder: Give your eyes a gentle break and look at something green.,Պարզապես մեղմ հիշեցում՝ Աչքերիդ մեղմ հանգիստ տուր և նայիր ինչ-որ կանաչ բանի:
75,Self-Care,Just a gentle reminder: Do one small thing that makes you smile right now.,"Պարզապես մեղմ հիշեցում՝ Արա մի փոքրիկ բան, որն այս պահին կստիպի քեզ ժպտալ:"
76,Self-Care,"Just a gentle reminder: Self-care isn't selfish, it's essential.","Պարզապես մեղմ հիշեցում՝ Ինքնախնամքը եսասիրություն չէ, այն անհրաժեշտություն է:"
77,Self-Acceptance,"Just a gentle reminder: You are entirely enough, exactly as you are.","Պարզապես մեղմ հիշեցում՝ Դու լիովին բավարար ես այնպես, ինչպես կաս:"
78,Self-Acceptance,"Just a gentle reminder: Embrace your unique journey, there is no one else like you.","Պարզապես մեղմ հիշեցում՝ Ընդունիր քո յուրահատուկ ուղին, ոչ ոք քեզ նման չէ:"
79,Self-Acceptance,Just a gentle reminder: Your worth is not measured by your productivity.,Պարզապես մեղմ հիշեցում՝ Քո արժեքը չի չափվում քո արտադրողականությամբ:
80,Self-Acceptance,Just a gentle reminder: It is wonderful to just be yourself.,Պարզապես մեղմ հիշեցում՝ Հրաշալի է պարզապես լինել ինքդ քեզ պես:
81,Self-Acceptance,Just a gentle reminder: Forgive yourself for the mistakes; they help you grow.,"Պարզապես մեղմ հիշեցում՝ Ներիր քեզ սխալների համար, դրանք օգնում են քեզ աճել:"
82,Self-Acceptance,Just a gentle reminder: Your imperfections make you beautifully human.,Պարզապես մեղմ հիշեցում՝ Քո թերությունները քեզ դարձնում են գեղեցիկ մարդկային:
83,Self-Acceptance,Just a gentle reminder: Celebrate the person you are becoming every single day.,"Պարզապես մեղմ հիշեցում՝ Տոնիր այն մարդուն, ում վերածվում ես ամեն օր:"
84,Self-Acceptance,"Just a gentle reminder: You are worthy of love, especially from yourself.","Պարզապես մեղմ հիշեցում՝ Դու արժանի ես սիրո, հատկապես ինքդ քո կողմից:"
85,Self-Acceptance,Just a gentle reminder: Let go of the need to be perfect.,Պարզապես մեղմ հիշեցում՝ Բաց թող կատարյալ լինելու կարիքը:
86,Self-Acceptance,"Just a gentle reminder: You belong right here, exactly where you are.","Պարզապես մեղմ հիշեցում՝ Քո տեղը հենց այստեղ է, ճիշտ այնտեղ, որտեղ կաս:"
87,Self-Acceptance,Just a gentle reminder: You don't need to earn your worth; you are inherently valuable.,"Պարզապես մեղմ հիշեցում՝ Քեզ պետք չէ վաստակել քո արժեքը, դու ի ծնե արժեքավոր ես:"
88,Self-Acceptance,Just a gentle reminder: Speak to yourself like someone you deeply love.,"Պարզապես մեղմ հիշեցում՝ Խոսիր քեզ հետ այնպես, ինչպես կխոսեիր մեկի հետ, ում խորապես սիրում ես:"
89,Mental Health,"Just a gentle reminder: Breathe in peace, breathe out any lingering stress.","Պարզապես մեղմ հիշեցում՝ Ներշնչիր խաղաղություն, արտաշնչիր կուտակված սթրեսը:"
90,Mental Health,Just a gentle reminder: It is completely okay to feel overwhelmed sometimes.,Պարզապես մեղմ հիշեցում՝ Լիովին նորմալ է երբեմն ծանրաբեռնված զգալը:
91,Mental Health,Just a gentle reminder: Be very gentle with your mind today.,Պարզապես մեղմ հիշեցում՝ Այսօր շատ մեղմ եղիր քո մտքերի հետ:
92,Mental Health,"Just a gentle reminder: Your feelings are valid, whatever they may be.","Պարզապես մեղմ հիշեցում՝ Քո զգացմունքները կարևոր են, անկախ նրանից, թե ինչպիսին են դրանք:"
93,Mental Health,Just a gentle reminder: You don't have to have everything figured out right now.,"Պարզապես մեղմ հիշեցում՝ Պարտադիր չէ, որ հիմա ամեն ինչ պարզած լինես:"
94,Mental Health,Just a gentle reminder: Protect your peace; it's okay to say no.,"Պարզապես մեղմ հիշեցում՝ Պաշտպանիր քո խաղաղությունը, նորմալ է «ոչ» ասելը:"
95,Mental Health,"Just a gentle reminder: Healing takes time, and you are doing your best.","Պարզապես մեղմ հիշեցում՝ Ապաքինումը ժամանակ է պահանջում, և դու անում ես առավելագույնը:"
96,Mental Health,"Just a gentle reminder: Take things one day, or even one hour, at a time.","Պարզապես մեղմ հիշեցում՝ Ամեն ինչ արա օր առ օր, կամ նույնիսկ ժամ առ ժամ:"
97,Mental Health,Just a gentle reminder: You are safe right here in this moment.,Պարզապես մեղմ հիշեցում՝ Այս պահին դու ապահով ես հենց այստեղ:
98,Mental Health,Just a gentle reminder: Let your thoughts pass like clouds in the sky.,Պարզապես մեղմ հիշեցում՝ Թող մտքերդ անցնեն երկնքի ամպերի պես:
99,Mental Health,"Just a gentle reminder: It takes courage to keep going, and I am proud of you.","Պարզապես մեղմ հիշեցում՝ Շարունակելու համար քաջություն է պետք, և ես հպարտանում եմ քեզանով:"
100,Mental Health,Just a gentle reminder: Release the tension you are carrying in your body.,"Պարզապես մեղմ հիշեցում՝ Ազատիր այն լարվածությունը, որը կրում ես մարմնումդ:"
101,Motivation & Focus,Hey there! You are capable of wonderful things.,Ողջո՜ւյն: Դու ունակ ես հրաշալի բաների:
102,Motivation & Focus,Hey there! Take it one small step at a time.,Ողջո՜ւյն: Առաջ գնա փոքրիկ քայլերով:
103,Motivation & Focus,"Hey there! Focus on your progress, not perfection.","Ողջո՜ւյն: Կենտրոնացիր քո առաջընթացի, այլ ոչ թե կատարելության վրա:"
104,Motivation & Focus,Hey there! You have the strength to overcome this challenge.,Ողջո՜ւյն: Դու ուժ ունես հաղթահարելու այս մարտահրավերը:
105,Motivation & Focus,Hey there! Your efforts are building a beautiful future.,Ողջո՜ւյն: Քո ջանքերը կերտում են գեղեցիկ ապագա:
106,Motivation & Focus,Hey there! Trust your pace. You are not falling behind.,Ողջո՜ւյն: Վստահիր քո տեմպին: Դու հետ չես մնում:
107,Motivation & Focus,Hey there! Every tiny bit of effort counts.,Ողջո՜ւյն: Ամեն մի փոքրիկ ջանք հաշվի է առնվում:
108,Motivation & Focus,Hey there! Give yourself credit for trying your best today.,Ողջո՜ւյն: Գնահատիր ինքդ քեզ այսօր լավագույնս փորձելու համար:
109,Motivation & Focus,"Hey there! It is okay to pause, as long as you don't give up.","Ողջո՜ւյն: Նորմալ է դադար առնել, քանի դեռ չես հանձնվում:"
110,Motivation & Focus,Hey there! You bring a unique light to everything you do.,"Ողջո՜ւյն: Դու յուրահատուկ լույս ես բերում այն ամենին, ինչ անում ես:"
111,Motivation & Focus,Hey there! Your potential is endless.,Ողջո՜ւյն: Քո ներուժն անսահման է:
112,Motivation & Focus,"Hey there! Keep going, your future self will thank you.","Ողջո՜ւյն: Շարունակիր, քո ապագա եսը շնորհակալություն կհայտնի քեզ:"
113,Motivation & Focus,Hey there! You are planting seeds for tomorrow's success.,Ողջո՜ւյն: Դու սերմեր ես ցանում վաղվա հաջողության համար:
114,Self-Care,Hey there! Allow yourself a moment to rest and reset.,Ողջո՜ւյն: Թույլ տուր քեզ մի պահ հանգստանալ և վերականգնվել:
115,Self-Care,Hey there! Drinking a little water right now could feel really refreshing.,Ողջո՜ւյն: Հիմա մի փոքր ջուր խմելը կարող է շատ թարմացնող լինել:
116,Self-Care,"Hey there! Stretch softly, listen to what your body needs.","Ողջո՜ւյն: Մեղմորեն ձգվիր, լսիր, թե ինչ է պետք քո մարմնին:"
117,Self-Care,Hey there! Resting is just as productive as working.,"Ողջո՜ւյն: Հանգստանալը նույնքան արդյունավետ է, որքան աշխատելը:"
118,Self-Care,Hey there! Make sure you nourish your body with something tasty today.,"Ողջո՜ւյն: Համոզվիր, որ այսօր սնուցում ես մարմինդ որևէ համեղ բանով:"
119,Self-Care,Hey there! Stepping away from the screen for a minute can work wonders.,Ողջո՜ւյն: Էկրանից մեկ րոպեով կտրվելը կարող է հրաշքներ գործել:
120,Self-Care,Hey there! Your well-being is your most important project.,Ողջո՜ւյն: Քո բարեկեցությունը քո ամենակարևոր նախագիծն է:
121,Self-Care,Hey there! Let your shoulders drop and find a comfortable position.,Ողջո՜ւյն: Թուլացրու ուսերդ և գտիր հարմար դիրք:
122,Self-Care,Hey there! Treat yourself with the same kindness you offer friends.,"Ողջո՜ւյն: Վերաբերվիր քեզ նույն բարությամբ, որը տալիս ես ընկերներիդ:"
123,Self-Care,Hey there! A warm cup of tea or coffee is waiting to comfort you.,Ողջո՜ւյն: Մի գավաթ տաք թեյը կամ սուրճը սպասում է քեզ հանգստացնելու:
124,Self-Care,Hey there! Give your eyes a gentle break and look at something green.,Ողջո՜ւյն: Աչքերիդ մեղմ հանգիստ տուր և նայիր ինչ-որ կանաչ բանի:
125,Self-Care,Hey there! Do one small thing that makes you smile right now.,"Ողջո՜ւյն: Արա մի փոքրիկ բան, որն այս պահին կստիպի քեզ ժպտալ:"
126,Self-Care,"Hey there! Self-care isn't selfish, it's essential.","Ողջո՜ւյն: Ինքնախնամքը եսասիրություն չէ, այն անհրաժեշտություն է:"
127,Self-Acceptance,"Hey there! You are entirely enough, exactly as you are.","Ողջո՜ւյն: Դու լիովին բավարար ես այնպես, ինչպես կաս:"
128,Self-Acceptance,"Hey there! Embrace your unique journey, there is no one else like you.","Ողջո՜ւյն: Ընդունիր քո յուրահատուկ ուղին, ոչ ոք քեզ նման չէ:"
129,Self-Acceptance,Hey there! Your worth is not measured by your productivity.,Ողջո՜ւյն: Քո արժեքը չի չափվում քո արտադրողականությամբ:
130,Self-Acceptance,Hey there! It is wonderful to just be yourself.,Ողջո՜ւյն: Հրաշալի է պարզապես լինել ինքդ քեզ պես:
131,Self-Acceptance,Hey there! Forgive yourself for the mistakes; they help you grow.,"Ողջո՜ւյն: Ներիր քեզ սխալների համար, դրանք օգնում են քեզ աճել:"
132,Self-Acceptance,Hey there! Your imperfections make you beautifully human.,Ողջո՜ւյն: Քո թերությունները քեզ դարձնում են գեղեցիկ մարդկային:
133,Self-Acceptance,Hey there! Celebrate the person you are becoming every single day.,"Ողջո՜ւյն: Տոնիր այն մարդուն, ում վերածվում ես ամեն օր:"
134,Self-Acceptance,"Hey there! You are worthy of love, especially from yourself.","Ողջո՜ւյն: Դու արժանի ես սիրո, հատկապես ինքդ քո կողմից:"
135,Self-Acceptance,Hey there! Let go of the need to be perfect.,Ողջո՜ւյն: Բաց թող կատարյալ լինելու կարիքը:
136,Self-Acceptance,"Hey there! You belong right here, exactly where you are.","Ողջո՜ւյն: Քո տեղը հենց այստեղ է, ճիշտ այնտեղ, որտեղ կաս:"
137,Self-Acceptance,Hey there! You don't need to earn your worth; you are inherently valuable.,"Ողջո՜ւյն: Քեզ պետք չէ վաստակել քո արժեքը, դու ի ծնե արժեքավոր ես:"
138,Self-Acceptance,Hey there! Speak to yourself like someone you deeply love.,"Ողջո՜ւյն: Խոսիր քեզ հետ այնպես, ինչպես կխոսեիր մեկի հետ, ում խորապես սիրում ես:"
139,Mental Health,"Hey there! Breathe in peace, breathe out any lingering stress.","Ողջո՜ւյն: Ներշնչիր խաղաղություն, արտաշնչիր կուտակված սթրեսը:"
140,Mental Health,Hey there! It is completely okay to feel overwhelmed sometimes.,Ողջո՜ւյն: Լիովին նորմալ է երբեմն ծանրաբեռնված զգալը:
141,Mental Health,Hey there! Be very gentle with your mind today.,Ողջո՜ւյն: Այսօր շատ մեղմ եղիր քո մտքերի հետ:
142,Mental Health,"Hey there! Your feelings are valid, whatever they may be.","Ողջո՜ւյն: Քո զգացմունքները կարևոր են, անկախ նրանից, թե ինչպիսին են դրանք:"
143,Mental Health,Hey there! You don't have to have everything figured out right now.,"Ողջո՜ւյն: Պարտադիր չէ, որ հիմա ամեն ինչ պարզած լինես:"
144,Mental Health,Hey there! Protect your peace; it's okay to say no.,"Ողջո՜ւյն: Պաշտպանիր քո խաղաղությունը, նորմալ է «ոչ» ասելը:"
145,Mental Health,"Hey there! Healing takes time, and you are doing your best.","Ողջո՜ւյն: Ապաքինումը ժամանակ է պահանջում, և դու անում ես առավելագույնը:"
146,Mental Health,"Hey there! Take things one day, or even one hour, at a time.","Ողջո՜ւյն: Ամեն ինչ արա օր առ օր, կամ նույնիսկ ժամ առ ժամ:"
147,Mental Health,Hey there! You are safe right here in this moment.,Ողջո՜ւյն: Այս պահին դու ապահով ես հենց այստեղ:
148,Mental Health,Hey there! Let your thoughts pass like clouds in the sky.,Ողջո՜ւյն: Թող մտքերդ անցնեն երկնքի ամպերի պես:
149,Mental Health,"Hey there! It takes courage to keep going, and I am proud of you.","Ողջո՜ւյն: Շարունակելու համար քաջություն է պետք, և ես հպարտանում եմ քեզանով:"
150,Mental Health,Hey there! Release the tension you are carrying in your body.,"Ողջո՜ւյն: Ազատիր այն լարվածությունը, որը կրում ես մարմնումդ:"
151,Motivation & Focus,Take a moment: You are capable of wonderful things.,Մի պահ տրամադրիր. Դու ունակ ես հրաշալի բաների:
152,Motivation & Focus,Take a moment: Take it one small step at a time.,Մի պահ տրամադրիր. Առաջ գնա փոքրիկ քայլերով:
153,Motivation & Focus,"Take a moment: Focus on your progress, not perfection.","Մի պահ տրամադրիր. Կենտրոնացիր քո առաջընթացի, այլ ոչ թե կատարելության վրա:"
154,Motivation & Focus,Take a moment: You have the strength to overcome this challenge.,Մի պահ տրամադրիր. Դու ուժ ունես հաղթահարելու այս մարտահրավերը:
155,Motivation & Focus,Take a moment: Your efforts are building a beautiful future.,Մի պահ տրամադրիր. Քո ջանքերը կերտում են գեղեցիկ ապագա:
156,Motivation & Focus,Take a moment: Trust your pace. You are not falling behind.,Մի պահ տրամադրիր. Վստահիր քո տեմպին: Դու հետ չես մնում:
157,Motivation & Focus,Take a moment: Every tiny bit of effort counts.,Մի պահ տրամադրիր. Ամեն մի փոքրիկ ջանք հաշվի է առնվում:
158,Motivation & Focus,Take a moment: Give yourself credit for trying your best today.,Մի պահ տրամադրիր. Գնահատիր ինքդ քեզ այսօր լավագույնս փորձելու համար:
159,Motivation & Focus,"Take a moment: It is okay to pause, as long as you don't give up.","Մի պահ տրամադրիր. Նորմալ է դադար առնել, քանի դեռ չես հանձնվում:"
160,Motivation & Focus,Take a moment: You bring a unique light to everything you do.,"Մի պահ տրամադրիր. Դու յուրահատուկ լույս ես բերում այն ամենին, ինչ անում ես:"
161,Motivation & Focus,Take a moment: Your potential is endless.,Մի պահ տրամադրիր. Քո ներուժն անսահման է:
162,Motivation & Focus,"Take a moment: Keep going, your future self will thank you.","Մի պահ տրամադրիր. Շարունակիր, քո ապագա եսը շնորհակալություն կհայտնի քեզ:"
163,Motivation & Focus,Take a moment: You are planting seeds for tomorrow's success.,Մի պահ տրամադրիր. Դու սերմեր ես ցանում վաղվա հաջողության համար:
164,Self-Care,Take a moment: Allow yourself a moment to rest and reset.,Մի պահ տրամադրիր. Թույլ տուր քեզ մի պահ հանգստանալ և վերականգնվել:
165,Self-Care,Take a moment: Drinking a little water right now could feel really refreshing.,Մի պահ տրամադրիր. Հիմա մի փոքր ջուր խմելը կարող է շատ թարմացնող լինել:
166,Self-Care,"Take a moment: Stretch softly, listen to what your body needs.","Մի պահ տրամադրիր. Մեղմորեն ձգվիր, լսիր, թե ինչ է պետք քո մարմնին:"
167,Self-Care,Take a moment: Resting is just as productive as working.,"Մի պահ տրամադրիր. Հանգստանալը նույնքան արդյունավետ է, որքան աշխատելը:"
168,Self-Care,Take a moment: Make sure you nourish your body with something tasty today.,"Մի պահ տրամադրիր. Համոզվիր, որ այսօր սնուցում ես մարմինդ որևէ համեղ բանով:"
169,Self-Care,Take a moment: Stepping away from the screen for a minute can work wonders.,Մի պահ տրամադրիր. Էկրանից մեկ րոպեով կտրվելը կարող է հրաշքներ գործել:
170,Self-Care,Take a moment: Your well-being is your most important project.,Մի պահ տրամադրիր. Քո բարեկեցությունը քո ամենակարևոր նախագիծն է:
171,Self-Care,Take a moment: Let your shoulders drop and find a comfortable position.,Մի պահ տրամադրիր. Թուլացրու ուսերդ և գտիր հարմար դիրք:
172,Self-Care,Take a moment: Treat yourself with the same kindness you offer friends.,"Մի պահ տրամադրիր. Վերաբերվիր քեզ նույն բարությամբ, որը տալիս ես ընկերներիդ:"
173,Self-Care,Take a moment: A warm cup of tea or coffee is waiting to comfort you.,Մի պահ տրամադրիր. Մի գավաթ տաք թեյը կամ սուրճը սպասում է քեզ հանգստացնելու:
174,Self-Care,Take a moment: Give your eyes a gentle break and look at something green.,Մի պահ տրամադրիր. Աչքերիդ մեղմ հանգիստ տուր և նայիր ինչ-որ կանաչ բանի:
175,Self-Care,Take a moment: Do one small thing that makes you smile right now.,"Մի պահ տրամադրիր. Արա մի փոքրիկ բան, որն այս պահին կստիպի քեզ ժպտալ:"
176,Self-Care,"Take a moment: Self-care isn't selfish, it's essential.","Մի պահ տրամադրիր. Ինքնախնամքը եսասիրություն չէ, այն անհրաժեշտություն է:"
177,Self-Acceptance,"Take a moment: You are entirely enough, exactly as you are.","Մի պահ տրամադրիր. Դու լիովին բավարար ես այնպես, ինչպես կաս:"
178,Self-Acceptance,"Take a moment: Embrace your unique journey, there is no one else like you.","Մի պահ տրամադրիր. Ընդունիր քո յուրահատուկ ուղին, ոչ ոք քեզ նման չէ:"
179,Self-Acceptance,Take a moment: Your worth is not measured by your productivity.,Մի պահ տրամադրիր. Քո արժեքը չի չափվում քո արտադրողականությամբ:
180,Self-Acceptance,Take a moment: It is wonderful to just be yourself.,Մի պահ տրամադրիր. Հրաշալի է պարզապես լինել ինքդ քեզ պես:
181,Self-Acceptance,Take a moment: Forgive yourself for the mistakes; they help you grow.,"Մի պահ տրամադրիր. Ներիր քեզ սխալների համար, դրանք օգնում են քեզ աճել:"
182,Self-Acceptance,Take a moment: Your imperfections make you beautifully human.,Մի պահ տրամադրիր. Քո թերությունները քեզ դարձնում են գեղեցիկ մարդկային:
